CUSIP,Security Name,Mtge Orig Amt,Cpn,Mtge Factor,Current WAL,Issue Date,Original WAL,Issuer,Mortgage Loan Margin
8316A0MT4,SBA 530369,5141544.87,5.5,1,5.2895,5/1/2023,,Raymond James Bank,-2.5
8316A0MY3,SBA 530374,78588015,5.5,1,15.4993,5/1/2023,,Brean Capital,-2.5
8316A0M56,SBA 530379,37588446,6.15,1,5.8407,5/1/2023,,BMO,-1.85
8316A8DM2,SBA 540107,19392192,9.2,1,5.7748,5/1/2023,,Cantor Fitzgerald,1.2
8316A0MW7,SBA 530372,72220120,5.4,1,5.5774,5/1/2023,,Brean Capital,-2.6
8316A0M23,SBA 530376,1756323,5.6,1,4.856,5/1/2023,,Cantor Fitzgerald,-2.4
8316A0M31,SBA 530377,38656829.41,5.45,1,5.3841,5/1/2023,,FHN FINANCIAL,-2.55
8316A0MU1,SBA 530370,14266075,5.375,1,6.4743,5/1/2023,,Brean Capital,-2.625
8316A0MV9,SBA 530371,14630078,5.625,1,11.9626,5/1/2023,,Brean Capital,-2.375
8316A0MX5,SBA 530373,40469775.18,7.575,1,16.6332,5/1/2023,,FHN FINANCIAL,-0.425
8316A0MZ0,SBA 530375,16167021,5.6,1,10.3791,5/1/2023,,Cantor Fitzgerald,-2.4
8316A0M49,SBA 530378,26008557.28,5.65,1,5.7973,5/1/2023,,FHN FINANCIAL,-2.35
8316A8DL4,SBA 540106,25379463,9.454,1,5.7942,5/1/2023,,Memphis Capital,1.454
8316A0MU1,SBA 530370,14266075,5.375,1,6.4743,5/1/2023,,Brean Capital,-2.625
8316A0MZ0,SBA 530375,16167021,5.6,1,10.3791,5/1/2023,,Cantor Fitzgerald,-2.4
8316A0M23,SBA 530376,1756323,5.6,1,4.856,5/1/2023,,Cantor Fitzgerald,-2.4
8316A0M49,SBA 530378,26008557.28,5.65,1,5.7973,5/1/2023,,FHN FINANCIAL,-2.35
8316A0MX5,SBA 530373,40469775.18,7.575,1,16.6332,5/1/2023,,FHN FINANCIAL,-0.425
8316A0M31,SBA 530377,38656829.41,5.45,1,5.3841,5/1/2023,,FHN FINANCIAL,-2.55
8316A0MV9,SBA 530371,14630078,5.625,1,11.9626,5/1/2023,,Brean Capital,-2.375
8316A0MR8,SBA 530367,8006124.53,5.55,1,5.7886,5/1/2023,,Raymond James Bank,-2.45
8316A0M56,SBA 530379,37588446,6.15,1,5.8407,5/1/2023,,BMO,-1.85
8316A0MS6,SBA 530368,38621621.27,5.5,1,5.8341,5/1/2023,,Raymond James Bank,-2.5
8316A0MT4,SBA 530369,5141544.87,5.5,1,5.2895,5/1/2023,,Raymond James Bank,-2.5
8316A0MW7,SBA 530372,72220120,5.4,1,5.5774,5/1/2023,,Brean Capital,-2.6
8316A8DM2,SBA 540107,19392192,9.2,1,5.7748,5/1/2023,,Cantor Fitzgerald,1.2
8316A0MY3,SBA 530374,78588015,5.5,1,15.4993,5/1/2023,,Brean Capital,-2.5
8316A8DK6,SBA 540105,51973599.19,7.768,0.998900133,16.3866,4/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",-0.232
8316A0MF4,SBA 530357,34178058.3,6,0.99860246,15.9791,4/1/2023,,"BREAN CAPITAL, LLC",-2
8316A0MP2,SBA 530365,50709218.76,7.15,0.994401299,5.7712,4/1/2023,,BMO CAPITAL MARKETS CORP.,-0.85
8316A0ME7,SBA 530356,66108329.48,5.4,0.993764222,5.5774,4/1/2023,,"BREAN CAPITAL, LLC",-2.6
8316A0MC1,SBA 530354,86231796.57,7.075,0.998780125,16.1528,4/1/2023,,"RAYMOND JAMES BANK, N.A.",-0.925
8316A0MQ0,SBA 530366,12295323.35,5.5,0.996441575,8.6723,4/1/2023,,CANTOR FITZGERALD & CO.,-2.5
8316A0MG2,SBA 530358,56064978.09,5.5,0.998451965,15.4993,4/1/2023,,"BREAN CAPITAL, LLC",-2.5
8316A8DG5,SBA 540102,24059032.38,9.413,0.994752172,5.6824,4/1/2023,,STONEWALL INVESTMENTS TENNESSE,1.413
8316A8DJ9,SBA 540104,19854356.34,10.598,0.995153632,5.8254,4/1/2023,,STONEWALL INVESTMENTS TENNESSE,2.598
8316A0MJ6,SBA 530360,8373235.87,5.4,0.99295419,5.0378,4/1/2023,,"BREAN CAPITAL, LLC",-2.6
8316A0MA5,SBA 530352,41777678.11,7.575,0.998890297,16.5015,4/1/2023,,FHN FINANCIAL CAPITAL MARKETS,-0.425
8316A0MH0,SBA 530359,44160429.68,5.55,0.998491718,15.7043,4/1/2023,,TRUIST BANK,-2.45
8316A0L99,SBA 530351,8452918.38,9.625,0.994880947,5.7527,4/1/2023,,FHN FINANCIAL CAPITAL MARKETS,1.625
8316A0MK3,SBA 530361,15593550.11,5.55,0.993679142,5.4906,4/1/2023,,TRUIST BANK,-2.45
8316A0MN7,SBA 530364,32929604.56,5.45,0.993912443,5.6806,4/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",-2.55
8316A0ML1,SBA 530362,15419938.22,5.45,0.993432552,5.3349,4/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",-2.55
8316A8DH3,SBA 540103,20086267.24,10.596,0.99521848,5.881,4/1/2023,,STONEWALL INVESTMENTS TENNESSE,2.596
8316A0MD9,SBA 530355,52383294.96,5.55,0.993679142,5.4906,4/1/2023,,"RAYMOND JAMES BANK, N.A.",-2.45
8316A0MM9,SBA 530363,15441878.08,5.45,0.99384734,5.631,4/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",-2.55
8316A0MB3,SBA 530353,15988376.04,5.5,0.994889586,6.5384,4/1/2023,,CANTOR FITZGERALD & CO.,-2.5
8316A8DF7,SBA 540101,48587217.91,8.861,0.994304124,5.4281,4/1/2023,,FHN FINANCIAL CAPITAL MARKETS,0.861
8316A0LX6,SBA 530341,10161422.93,5.5,0.996616915,14.9587,3/1/2023,,"RAYMOND JAMES BANK, N.A.",-2.5
8316A0L81,SBA 530350,17208436.81,5.6,0.996248872,13.8714,3/1/2023,,CANTOR FITZGERALD & CO.,-2.4
